metric,category,value
total_trajectories,all,5
eligible_trajectories,all,4
quality_flag_count,is_invalid_time,0
quality_flag_count,is_long_gap,11
quality_flag_count,is_unrealistic_speed,1
quality_flag_count,is_gps_jump,1
synthetic_sample_count,route_deviation,4
synthetic_sample_count,abnormal_speed,4
synthetic_sample_count,long_stop,4
synthetic_sample_count,direction_change,4
split_row_count,train,2217
split_normal_rows,train,2217
split_anomaly_rows,train,0
split_row_count,validation,1220
split_normal_rows,validation,1132
split_anomaly_rows,validation,88
split_row_count,test,4540
split_normal_rows,test,4451
split_anomaly_rows,test,89
